GEO_ID,geoid2,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
id,id2,Geographic Area Name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US291892167001,291892167001,"Block Group 1, Census Tract 2167, St. Louis County, Missouri",554,88,20,32,0,11,24,39,8,12,15,21,31,23,15,17,7,11,26,20,58,54,82,43,33,25,26,23,45,40,55,52,109,59
1500000US291892167002,291892167002,"Block Group 2, Census Tract 2167, St. Louis County, Missouri",480,82,22,21,0,11,7,12,26,30,42,44,21,22,32,40,43,44,21,21,59,48,42,32,45,32,66,50,6,9,18,20,30,32
1500000US291892167003,291892167003,"Block Group 3, Census Tract 2167, St. Louis County, Missouri",253,59,18,20,15,19,11,17,16,18,0,11,0,11,8,13,8,13,35,29,35,30,37,31,36,32,8,13,0,11,0,11,26,23
1500000US291892167004,291892167004,"Block Group 4, Census Tract 2167, St. Louis County, Missouri",470,84,56,49,76,52,25,23,44,47,11,17,8,13,30,28,25,40,7,12,43,30,21,23,39,51,45,33,40,34,0,11,0,11
1500000US291892168001,291892168001,"Block Group 1, Census Tract 2168, St. Louis County, Missouri",379,91,37,28,27,42,6,11,32,25,18,20,21,25,7,12,20,22,23,26,39,42,44,34,27,42,30,46,26,25,16,18,6,10
1500000US291892168002,291892168002,"Block Group 2, Census Tract 2168, St. Louis County, Missouri",431,89,24,22,10,15,7,11,46,41,21,24,32,37,6,11,8,13,17,21,0,11,69,58,105,64,61,60,0,11,16,18,9,15
1500000US291892168003,291892168003,"Block Group 3, Census Tract 2168, St. Louis County, Missouri",800,100,31,25,51,47,19,21,33,22,78,61,26,23,28,27,13,20,34,42,72,46,102,45,36,36,101,57,101,48,37,30,38,26
1500000US291892169001,291892169001,"Block Group 1, Census Tract 2169, St. Louis County, Missouri",423,63,40,33,15,17,0,11,47,58,32,24,36,30,12,19,21,26,5,9,20,24,45,37,93,71,17,26,40,39,0,11,0,11
1500000US291892169002,291892169002,"Block Group 2, Census Tract 2169, St. Louis County, Missouri",933,97,102,57,90,64,74,47,81,57,93,75,88,67,76,42,78,52,54,55,56,44,27,26,54,37,22,25,26,31,12,20,0,11
1500000US291892170001,291892170001,"Block Group 1, Census Tract 2170, St. Louis County, Missouri",403,102,92,83,27,33,61,55,33,37,0,11,42,40,0,11,0,11,24,38,5,10,12,19,0,11,81,56,8,15,18,30,0,11
1500000US291892170002,291892170002,"Block Group 2, Census Tract 2170, St. Louis County, Missouri",1099,119,159,89,96,61,17,28,97,76,29,34,70,62,15,23,35,34,34,45,81,51,205,116,56,48,81,58,42,42,59,49,23,31
1500000US291892170003,291892170003,"Block Group 3, Census Tract 2170, St. Louis County, Missouri",525,141,201,130,22,26,79,83,31,43,0,11,19,29,17,28,0,11,12,21,33,38,32,36,35,32,33,41,0,11,11,17,0,11
1500000US291892172001,291892172001,"Block Group 1, Census Tract 2172, St. Louis County, Missouri",223,61,38,49,0,11,17,14,28,27,0,11,24,23,38,33,14,17,10,17,35,34,7,11,6,9,6,9,0,11,0,11,0,11
1500000US291892172002,291892172002,"Block Group 2, Census Tract 2172, St. Louis County, Missouri",821,97,55,43,43,45,31,28,82,51,39,29,33,33,79,44,96,62,25,20,90,53,81,46,85,50,63,36,19,17,0,11,0,11
