GEO_ID,geoid_2,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
id,id2,Geographic Area Name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US291892167002,291892167002,"Block Group 2, Census Tract 2167, St. Louis County, Missouri",452,70,8,12,0,11,0,11,27,26,0,11,0,11,10,15,21,23,23,22,138,59,31,25,53,30,70,39,18,14,29,23,24,28
1500000US291892167003,291892167003,"Block Group 3, Census Tract 2167, St. Louis County, Missouri",330,61,33,27,8,14,0,11,10,15,16,18,8,14,9,13,0,11,23,28,48,43,33,25,5,9,64,44,31,24,26,29,16,16
1500000US291892167001,291892167001,"Block Group 1, Census Tract 2167, St. Louis County, Missouri",453,74,44,41,0,11,18,20,17,18,0,11,0,11,25,20,0,11,17,19,30,24,0,11,37,27,68,57,16,19,75,59,106,43
1500000US291892167004,291892167004,"Block Group 4, Census Tract 2167, St. Louis County, Missouri",468,94,41,31,7,12,10,16,85,60,57,53,45,47,0,11,10,15,0,11,35,34,33,31,33,24,72,65,7,11,10,11,23,36
1500000US291892168002,291892168002,"Block Group 2, Census Tract 2168, St. Louis County, Missouri",260,59,35,30,34,32,13,19,10,17,27,27,7,11,0,11,7,11,7,12,9,16,30,27,40,31,0,11,12,18,18,20,11,19
1500000US291892168003,291892168003,"Block Group 3, Census Tract 2168, St. Louis County, Missouri",932,95,9,14,0,11,26,23,49,50,8,11,7,11,18,15,88,67,52,61,27,25,122,74,149,68,85,54,61,37,74,42,157,76
1500000US291892168001,291892168001,"Block Group 1, Census Tract 2168, St. Louis County, Missouri",313,72,51,33,9,14,12,19,19,21,12,17,45,56,10,16,0,11,11,18,29,28,19,20,44,26,23,21,21,26,8,12,0,11
1500000US291892169002,291892169002,"Block Group 2, Census Tract 2169, St. Louis County, Missouri",1011,92,87,52,112,70,122,80,98,72,92,58,115,70,19,21,19,21,47,47,65,49,35,30,119,51,20,19,10,16,51,34,0,11
1500000US291892169001,291892169001,"Block Group 1, Census Tract 2169, St. Louis County, Missouri",358,70,18,21,18,23,12,18,61,59,36,29,0,11,13,16,18,20,36,28,36,28,31,26,32,27,15,17,1,14,31,36,0,11
1500000US291892170003,291892170003,"Block Group 3, Census Tract 2170, St. Louis County, Missouri",425,107,84,81,0,11,31,39,20,39,0,11,0,11,9,14,8,17,0,11,79,71,23,32,87,73,40,45,19,31,0,11,25,40
1500000US291892170002,291892170002,"Block Group 2, Census Tract 2170, St. Louis County, Missouri",975,129,45,45,15,27,41,37,0,11,5,10,56,45,17,21,88,61,123,90,59,56,124,68,207,111,48,44,14,24,41,39,92,77
1500000US291892170001,291892170001,"Block Group 1, Census Tract 2170, St. Louis County, Missouri",437,122,58,55,26,30,146,114,52,38,30,36,26,43,0,11,0,11,0,11,15,24,14,24,24,31,15,23,0,11,15,26,16,26
1500000US291892172002,291892172002,"Block Group 2, Census Tract 2172, St. Louis County, Missouri",716,67,20,25,35,27,27,18,15,14,43,28,53,30,41,26,52,32,57,34,40,30,101,38,107,41,78,29,25,17,11,12,11,11
1500000US291892172001,291892172001,"Block Group 1, Census Tract 2172, St. Louis County, Missouri",260,50,32,27,16,24,22,17,18,16,26,26,19,14,42,30,29,25,0,11,35,34,0,11,10,11,5,8,0,11,0,11,6,10
